#chr	start	end	gene_id	strand	gene_name
chr1	109309567	109397917	ENSG00000134243	-	SORT1
chr1	207496146	207641764	ENSG00000203710	+	CR1
chr2	9488485	9556731	ENSG00000151694	-	ADAM17
chr2	37250501	37324832	ENSG00000115825	-	PRKD3
chr2	105744911	105894273	ENSG00000071051	+	NCK2
chr2	127048026	127107287	ENSG00000136717	-	BIN1
chr2	202874260	203014797	ENSG00000138442	-	WDR12
chr2	233059966	233207902	ENSG00000168918	+	INPP5D
chr3	155024123	155183703	ENSG00000196549	+	MME
chr4	986996	1004563	ENSG00000127415	+	IDUA
chr4	10486394	10684767	ENSG00000109684	-	CLNK
chr4	40191052	40246966	ENSG00000168421	+	RHOH
chr5	14704799	14871777	ENSG00000154122	-	ANKH
chr5	86617927	86620961	ENSG00000127184	+	COX7C
chr5	151029944	151093576	ENSG00000145901	-	TNIP1
chr5	180100794	180209210	ENSG00000146090	-	RASGEF1C
chr6	32628178	32643683	ENSG00000196735	+	HLA-DQA1
chr6	41026894	41039220	ENSG00000124602	-	UNC5CL
chr6	41158505	41163185	ENSG00000095970	-	TREM2
chr6	41189748	41201148	ENSG00000112195	-	TREML2
chr6	47477788	47627262	ENSG00000198087	+	CD2AP
chr6	114055585	114343044	ENSG00000249853	-	HS3ST5
chr7	7640710	7968019	ENSG00000219545	+	UMAD1
chr7	8113183	8262686	ENSG00000003147	-	ICA1
chr7	12211269	12243366	ENSG00000106460	+	TMEM106B
chr7	27830572	28180794	ENSG00000153814	-	JAZF1
chr7	37683842	37951935	ENSG00000086289	+	EPDR1
chr7	54752249	54759973	ENSG00000132432	-	SEC61G
chr7	100307701	100322195	ENSG00000214300	+	SPDYE3
chr7	143390288	143408855	ENSG00000146904	-	EPHA1
chr8	11842523	11869532	ENSG00000164733	-	CTSB
chr8	27311481	27459390	ENSG00000120899	+	PTK2B
chr8	27596916	27614699	ENSG00000120885	-	CLU
chr8	144098632	144108123	ENSG00000179526	-	SHARPIN
chr9	104781005	104928154	ENSG00000165029	-	ABCA1
chr11	47354859	47378546	ENSG00000066336	-	SPI1
chr11	60185656	60318079	ENSG00000110079	+	MS4A4A
chr11	86244752	86278812	ENSG00000074266	+	EED
chr11	121452313	121633762	ENSG00000137642	+	SORL1
chr10	11453945	11611753	ENSG00000148429	-	USP6NL
chr10	60026297	60733489	ENSG00000151150	-	ANK3
chr10	80454165	80533123	ENSG00000108219	+	TSPAN14
chr10	96189170	96271586	ENSG00000095585	-	BLNK
chr10	122374695	122442601	ENSG00000107679	+	PLEKHA1
chr12	113221049	113298584	ENSG00000186815	+	TPCN1
chr14	52857267	52952434	ENSG00000073712	-	FERMT2
chr14	92322580	92501480	ENSG00000140090	+	SLC24A4
chr15	50702265	50765705	ENSG00000138600	-	SPPL2A
chr15	58771191	58861899	ENSG00000128923	+	MINDY2
chr15	63276017	63309125	ENSG00000138613	+	APH1B
chr15	64094122	64146089	ENSG00000028528	+	SNX1
chr15	78921057	78949573	ENSG00000103811	-	CTSH
chr16	30005513	30023269	ENSG00000149927	-	DOC2A
chr16	31106106	31112790	ENSG00000103507	+	BCKDK
chr16	70579894	70660681	ENSG00000157368	+	IL34
chr16	79585842	79600736	ENSG00000178573	-	MAF
chr16	81739096	81962684	ENSG00000197943	+	PLCG2
chr16	86510526	86515421	ENSG00000103241	+	FOXF1
chr16	90056565	90092071	ENSG00000126856	-	PRDM7
chr17	1716522	1738598	ENSG00000167716	+	WDR81
chr17	5208919	5234859	ENSG00000161929	-	SCIMP
chr17	18108705	18179799	ENSG00000091536	+	MYO15A
chr17	44345261	44353105	ENSG00000030582	+	GRN
chr17	46762505	46833057	ENSG00000108379	-	WNT3
chr17	49210410	49223224	ENSG00000108798	+	ABI3
chr17	58301230	58328794	ENSG00000005379	-	TSPOAP1
chr17	63477060	63498379	ENSG00000159640	+	ACE
chr20	407497	432138	ENSG00000125826	+	RBCK1
chr20	56412111	56460386	ENSG00000087589	+	CASS4
chr20	63739775	63744049	ENSG00000125520	+	SLC2A4RG
chr19	1040106	1065571	ENSG00000064687	+	ABCA7
chr19	1852398	1863578	ENSG00000129911	-	KLF16
chr19	49948984	49961171	ENSG00000161640	-	SIGLEC11
chr19	54273811	54281183	ENSG00000131042	-	LILRB2
chr21	25880549	26171127	ENSG00000142192	-	APP
chr21	26835754	26845408	ENSG00000154734	-	ADAMTS1
