#chr	start	end	gene_id	gene_name
chr14	99238297	101760000	ENSG00000100811	
chr20	34433347	37080000	ENSG00000125965	
chr3	46413681	50320000	ENSG00000114650	
chr8	9840000	12600000	ENSG00000104643	
chr10	101673731	103714397	ENSG00000138175	
chr10	101644478	103680000	ENSG00000171206	
chr3	44920000	50320000	ENSG00000114648	
chr3	44920000	50320000	ENSG00000160796	
chr3	44920000	50320000	ENSG00000088727	
chr3	46680000	50320000	ENSG00000185909	
chr10	101503971	103680000	ENSG00000107882	
chr10	102040000	104446294	ENSG00000148843	
chr14	56480000	60600000	ENSG00000032219	
chr14	56480000	60600000	ENSG00000100567	
chr14	58080000	60600000	ENSG00000050130	
chr14	58080000	60600000	ENSG00000100592	
chr15	83980439	86139145	ENSG00000073417	
chr22	35240000	41680000	ENSG00000100097	
chr3	44920000	50320000	ENSG00000160799	
chr3	44920000	50320000	ENSG00000181555	
chr3	44920000	50320000	ENSG00000076201	
chr3	46680000	50320000	ENSG00000132153	
chr3	46680000	50320000	ENSG00000164050	
chr3	46680000	50320000	ENSG00000178035	
chr3	46680000	50930173	ENSG00000164077	
chr3	46680000	50320000	ENSG00000172046	
chr3	46680000	51920000	ENSG00000179564	
chr8	9840000	12600000	ENSG00000171044	
chr8	117120000	120673453	ENSG00000136960	
chr8	117120000	120424434	ENSG00000136999	
chr8	9054291	12600000	ENSG00000175806	
chr10	101461394	103680000	ENSG00000138111	
chr3	46495640	50320000	ENSG00000163832	
chr3	46680000	50320000	ENSG00000047849	
chr3	46585269	50320000	ENSG00000173473	
chr8	9764961	12600000	ENSG00000254093	
chr8	9725399	12600000	ENSG00000258724	
chr8	9840000	12869533	ENSG00000164733	
chr8	7160000	10116746	ENSG00000104626	
chr8	7160000	9893630	ENSG00000147324	
chr14	56480000	60600000	ENSG00000139971	
chr14	56480000	60600000	ENSG00000100578	
chr2	234493040	234497080	ENSG00000188042	ARL4C
chr3	46921725	46982009	ENSG00000160799	CCDC12
chr3	46979665	47009703	ENSG00000160796	NBEAL2
chr3	47413680	47477125	ENSG00000114650	SCAP
chr3	47495639	47513711	ENSG00000163832	ELP6
chr3	47562237	47580791	ENSG00000114646	CSPG5
chr3	47585268	47782105	ENSG00000173473	SMARCC1
chr3	47802949	47850194	ENSG00000132153	DHX30
chr3	47850689	48089271	ENSG00000047849	MAP4
chr4	69051362	69112986	ENSG00000171234	UGT2B7
chr6	17759182	17987634	ENSG00000137177	KIF13A
chr7	2679521	2775499	ENSG00000174945	AMZ1
chr7	2728104	2844307	ENSG00000146535	GNA12
chr7	55019016	55211627	ENSG00000146648	EGFR
chr8	73064542	73124087	ENSG00000164764	SBSPON
chr8	119557085	119673452	ENSG00000136960	ENPP2
chr10	25016611	25026663	ENSG00000185875	THNSL1
chr10	102461394	102477044	ENSG00000138111	MFSD13A
chr10	102461880	102502711	ENSG00000138107	ACTR1A
chr10	102503971	102633534	ENSG00000107882	SUFU
chr10	102644478	102658317	ENSG00000171206	TRIM8
chr10	102673730	102714396	ENSG00000138175	ARL3
chr12	121429095	121581022	ENSG00000089094	KDM2B
chr14	57999734	58298138	ENSG00000139971	ARMH4
chr14	58244842	58272011	ENSG00000100567	PSMA3
chr20	35302565	35412030	ENSG00000101019	UQCC1
chr20	35433346	35454745	ENSG00000125965	GDF5
chr19	3976055	3985462	ENSG00000167658	EEF2
chr19	4007735	4039385	ENSG00000105229	PIAS4
chr22	20707690	20859416	ENSG00000241973	PI4KA
chr22	20774112	20787719	ENSG00000099937	SERPIND1
chr22	20859006	20891213	ENSG00000099940	SNAP29
chr22	24417878	24442356	ENSG00000128271	ADORA2A
