#chr	start	end	molecular_id	gene_id	gene_name
chr10	101673731	103714397	ENSG00000138175		
chr10	101918293	104090222	ENSG00000148842		
chr10	101743947	103834516	ENSG00000166272		
chr10	101869469	103901899	ENSG00000214435		
chr11	118960000	121230334	ENSG00000184232		
chr11	119336412	121489937	ENSG00000196914		
chr11	60799627	64320000	ENSG00000149485		
chr11	7840000	10400000	ENSG00000166452		
chr12	130760000	133275309	ENSG00000198598		
chr17	42560000	46680000	ENSG00000091947		
chr17	42560000	46680000	ENSG00000108861		
chr17	45762506	50760000	ENSG00000108379		
chr17	46320000	50760000	ENSG00000159199		
chr17	46320000	50760000	ENSG00000159202		
chr17	46320000	50760000	ENSG00000167083		
chr17	42560000	50760000	ENSG00000176681		
chr17	42560000	47028334	ENSG00000186868		
chr17	42560000	50760000	ENSG00000228696		
chr17	75527356	80080000	ENSG00000161544		
chr19	35640000	43520000	ENSG00000198453		
chr19	35510687	43520000	ENSG00000254004		
chr19	35640000	43520000	ENSG00000105197		
chr19	35640000	43520000	ENSG00000171747		
chr19	35640000	43520000	ENSG00000182472		
chr19	44680000	54480000	ENSG00000197405		
chr1	148440000	151876708	ENSG00000143437		
chr1	201840000	206440000	ENSG00000117222		
chr1	201840000	206440000	ENSG00000133069		
chr1	201840000	206440000	ENSG00000174529		
chr1	201840000	206440000	ENSG00000184144		
chr1	20520000	24080000	ENSG00000173369		
chr22	35240000	41680000	ENSG00000100106		
chr22	43040000	46760000	ENSG00000128408		
chr2	106080000	110600000	ENSG00000169756		
chr2	106080000	108892544	ENSG00000196862		
chr2	200840000	203960000	ENSG00000055044		
chr2	201912213	203988263	ENSG00000138380		
chr2	201874261	204014798	ENSG00000138442		
chr2	202014878	204226378	ENSG00000144426		
chr2	201773150	203960000	ENSG00000163596		
chr2	202240000	204535335	ENSG00000173166		
chr2	200840000	203205188	ENSG00000182329		
chr6	24360000	30480000	ENSG00000112343		
chr6	25055740	30480000	ENSG00000187837		
chr6	25033092	30480000	ENSG00000278463		
chr6	25026815	30480000	ENSG00000278705		
chr6	25960000	30480000	ENSG00000096654		
chr6	25440471	30480000	ENSG00000111801		
chr6	25457903	30480000	ENSG00000112763		
chr6	25365158	30480000	ENSG00000186470		
chr6	25960000	30480000	ENSG00000189298		
chr6	25960000	30480000	ENSG00000197062		
chr6	25960000	30480000	ENSG00000198315		
chr6	25960000	30480000	ENSG00000276302		
chr6	25960000	30480000	ENSG00000187987		
chr6	25960000	30480000	ENSG00000197935		
chr6	25960000	33560000	ENSG00000204632		
chr6	25960000	33560000	ENSG00000204642		
chr6	25960000	33560000	ENSG00000206503		
chr6	29640000	33560000	ENSG00000137312		
chr6	29640000	33560000	ENSG00000137411		
chr6	29640000	33560000	ENSG00000204525		
chr6	29617839	33560000	ENSG00000204568		
chr6	29640000	33560000	ENSG00000204580		
chr6	25960000	33560000	ENSG00000234127		
chr6	29640000	33560000	ENSG00000204438		
chr6	29640000	33560000	ENSG00000213719		
chr6	29640000	33560000	ENSG00000224389		
chr6	29640000	33560000	ENSG00000244731		
chr6	29640000	33560000	ENSG00000204287		
chr6	29640000	33981505	ENSG00000204256		
chr6	29640000	33969094	ENSG00000204257		
chr6	29640000	33838770	ENSG00000204267		
chr6	29640000	33941028	ENSG00000242574		
chr6	29640000	33953122	ENSG00000248993		
chr7	134148071	136166215	ENSG00000146859		
chr7	0	6000000	ENSG00000146535		
chr7	0	6000000	ENSG00000174945		
chr7	0	6000000	ENSG00000198286		
chr8	108800000	114440000	ENSG00000164796		
chr8	117120000	122720000	ENSG00000136982		
chr10	101419188	103680000	ENSG00000107872		
chr10	101830531	103837472	ENSG00000148795		
chr10	102040000	104446294	ENSG00000148843		
chr10	102040000	104458900	ENSG00000185933		
chr17	45923074	50760000	ENSG00000108433		
chr17	46320000	50760000	ENSG00000136436		
chr17	46320000	50760000	ENSG00000159210		
chr19	35640000	43520000	ENSG00000261857		
chr19	35640000	45640000	ENSG00000183668		
chr2	147644439	149787569	ENSG00000135999		
chr2	200840000	203960000	ENSG00000204217		
chr3	141200000	144060725	ENSG00000163714		
chr6	25021648	30480000	ENSG00000278637		
chr6	25031589	30480000	ENSG00000286522		
chr6	25045383	30480000	ENSG00000287080		
chr6	25960000	30480000	ENSG00000275126		
chr6	25960000	30480000	ENSG00000232040		
chr6	25960000	33560000	ENSG00000241370		
chr6	29640000	33560000	ENSG00000146112		
chr6	29640000	33560000	ENSG00000196230		
chr6	29640000	33560000	ENSG00000204539		
chr6	29640000	33560000	ENSG00000204469		
chr6	29640000	35520000	ENSG00000112514		
chr7	0	6000000	ENSG00000106266		
chr8	117120000	119951885	ENSG00000164761		
chr9	108840000	111720000	ENSG00000165124		
chr11	119325295	121333686	ENSG00000181264		
chr19	35640000	45640000	ENSG00000124467		
chr6	25158145	30480000	ENSG00000158373		
chr6	29640000	33560000	ENSG00000232810		
chr6	29640000	33560000	ENSG00000204304		
chr2	107826891	107892543		ENSG00000196862	RGPD4
chr2	108377953	108388988		ENSG00000198075	SULT1C4
chr2	108449205	108509414		ENSG00000135968	GCC2
chr2	108534354	108687245		ENSG00000169756	LIMS1
chr2	108719481	108785808		ENSG00000153201	RANBP2
chr2	202773149	202871765		ENSG00000163596	ICA1L
chr2	202874260	203014797		ENSG00000138442	WDR12
chr2	202912213	202988262		ENSG00000138380	CARF
chr2	203014878	203226377		ENSG00000144426	NBEAL1
chr3	13316234	13420321		ENSG00000132182	NUP210
chr3	14947583	15053599		ENSG00000177463	NR2C2
chr3	25174331	25597931		ENSG00000077092	RARB
chr3	46921725	46982009		ENSG00000160799	CCDC12
chr3	46979665	47009703		ENSG00000160796	NBEAL2
chr3	47413680	47477125		ENSG00000114650	SCAP
chr3	47495639	47513711		ENSG00000163832	ELP6
chr3	52836218	52897547		ENSG00000213533	STIMATE
chr3	89107620	89482133		ENSG00000044524	EPHA3
chr6	26457903	26476620		ENSG00000112763	BTN2A1
chr6	28141882	28159459		ENSG00000198315	ZKSCAN8
chr6	30102896	30113089		ENSG00000204616	TRIM31
chr6	31661227	31666282		ENSG00000204438	GPANK1
chr6	31765589	31777327		ENSG00000204396	VWA7
chr6	31982056	32002680		ENSG00000244731	C4A
chr6	32014794	32035417		ENSG00000224389	C4B
chr6	32038326	32041643		ENSG00000231852	CYP21A2
chr6	32041152	32115333		ENSG00000168477	TNXB
chr6	96015973	96215611		ENSG00000172461	FUT9
chr6	96521594	96555275		ENSG00000014123	UFL1
chr6	96562547	96616635		ENSG00000112214	FHL5
chr6	126340114	126348874		ENSG00000203760	CENPW
chr7	2679521	2775499		ENSG00000174945	AMZ1
chr7	2728104	2844307		ENSG00000146535	GNA12
chr11	8693350	8910950		ENSG00000166444	DENND2B
chr11	8911138	8920083		ENSG00000166452	AKIP1
chr11	8947201	8965010		ENSG00000175348	TMEM9B
chr11	10573090	10693987		ENSG00000072952	IRAG1
chr11	61752635	61788517		ENSG00000124920	MYRF
chr11	61768500	61792801		ENSG00000134825	TMEM258
chr11	61792979	61867353		ENSG00000134824	FADS2
chr11	61799626	61829317		ENSG00000149485	FADS1
chr11	63838927	63911019		ENSG00000072518	MARK2
chr11	120325295	120333685		ENSG00000181264	TLCD5
chr11	120336412	120489936		ENSG00000196914	ARHGEF12
chr10	73644880	73663802		ENSG00000166317	SYNPO2L
chr10	73995192	74121362		ENSG00000035403	VCL
chr10	74151201	74709962		ENSG00000156110	ADK
chr10	102743947	102834515		ENSG00000166272	WBP1L
chr10	102869469	102901898		ENSG00000214435	AS3MT
chr10	102918293	103090221		ENSG00000148842	CNNM2
chr10	103087184	103277604		ENSG00000076685	NT5C2
chr16	58058	76354		ENSG00000007384	RHBDF1
chr16	89707133	89720897		ENSG00000075399	VPS9D1
chr17	47323289	47441311		ENSG00000178852	EFCAB13
chr17	47831633	47837718		ENSG00000141294	LRRC46
chr17	48762234	48817213		ENSG00000170703	TTLL6
chr17	48831025	48866521		ENSG00000136436	CALCOCO2
chr17	48892764	48895870		ENSG00000159199	ATP5MC1
chr17	48908406	48929055		ENSG00000159202	UBE2Z
chr17	48929315	48944841		ENSG00000159210	SNF8
chr17	77280568	77500595		ENSG00000184640	SEPTIN9
chr19	47255979	47273700		ENSG00000105321	CCDC9
chr19	47290022	47322065		ENSG00000197405	C5AR1
chr22	45308967	45341954		ENSG00000100376	FAM118A
