#chr	start	end	gene_id	gene_name
chr10	102877569	104918184	ENSG00000107960	
chr16	85040000	90338345	ENSG00000141002	
chr16	85040000	90338345	ENSG00000185324	
chr16	85040000	90338345	ENSG00000258839	
chr17	28360000	32440000	ENSG00000141298	
chr17	42560000	46680000	ENSG00000136448	
chr17	42560000	46680000	ENSG00000172992	
chr17	62240000	64920000	ENSG00000108604	
chr17	66200000	69280000	ENSG00000182481	
chr18	34840000	37320000	ENSG00000141425	
chr18	77680000	80373285	ENSG00000166377	
chr19	32720000	43520000	ENSG00000105668	
chr19	32720000	43520000	ENSG00000126267	
chr19	32720000	43520000	ENSG00000167595	
chr19	32720000	43520000	ENSG00000272333	
chr1	108062486	112800000	ENSG00000197780	
chr1	0	6480000	ENSG00000142609	
chr1	201840000	206775482	ENSG00000117280	
chr1	201840000	206813748	ENSG00000133065	
chr1	201840000	206850132	ENSG00000162877	
chr1	201840000	206943460	ENSG00000174502	
chr1	233604269	236080000	ENSG00000168264	
chr2	187480000	191080000	ENSG00000115368	
chr6	144080000	146964423	ENSG00000146414	
chr7	139719327	144360000	ENSG00000157764	
chr7	42582757	44650713	ENSG00000164543	
chr8	117120000	120245673	ENSG00000147676	
chr8	29995802	32033715	ENSG00000172733	
chr8	2080000	8200000	ENSG00000091879	
chr17	28360000	32440000	ENSG00000126860	
chr1	0	6480000	ENSG00000197785	
chr1	201840000	207117699	ENSG00000198049	
chr1	214005774	216237090	ENSG00000082482	
chr1	234327349	236344532	ENSG00000152904	
chr2	25160000	28100762	ENSG00000138030	
chr3	157962234	160897366	ENSG00000283154	
chr16	51436417	53547802	ENSG00000103460	
chr1	205767985	205775481	ENSG00000117280	RAB29
chr1	205789093	205813747	ENSG00000133065	SLC41A1
chr1	205828024	205850131	ENSG00000162877	PM20D1
chr1	205913047	205943459	ENSG00000174502	SLC26A9
chr1	205976739	206003460	ENSG00000276600	RAB7B
chr1	206008534	206023908	ENSG00000196188	CTSE
chr1	206053172	206102448	ENSG00000263961	RHEX
chr1	236215100	236281957	ENSG00000086619	ERO1B
chr3	158644526	158695580	ENSG00000168827	GFM1
chr5	78002325	78294697	ENSG00000132842	AP3B1
chr6	7726098	7881727	ENSG00000153162	BMP6
chr6	7881516	7910787	ENSG00000239264	TXNDC5
chr6	7881521	8064363	ENSG00000259040	BLOC1S5-TXNDC5
chr6	44809316	45377952	ENSG00000196284	SUPT3H
chr7	2679521	2775499	ENSG00000174945	AMZ1
chr7	2728104	2844307	ENSG00000146535	GNA12
chr8	119557085	119673452	ENSG00000136960	ENPP2
chr11	92224817	92896472	ENSG00000165323	FAT3
chr11	93144173	93197990	ENSG00000180773	SLC36A4
chr10	112950246	113167677	ENSG00000148737	TCF7L2
chr12	56222014	56229853	ENSG00000139579	NABP2
chr12	56237806	56258383	ENSG00000139645	ANKRD52
chr12	56266941	56270965	ENSG00000135469	COQ10A
chr12	56271698	56300390	ENSG00000062485	CS
chr12	56309841	56316118	ENSG00000257727	CNPY2
chr12	56316222	56334052	ENSG00000135473	PAN2
chr12	56334173	56340409	ENSG00000110944	IL23A
chr12	56341596	56360141	ENSG00000170581	STAT2
chr17	67825502	67984377	ENSG00000171634	BPTF
chr17	68035635	68046853	ENSG00000182481	KPNA2
chr18	36777646	36829215	ENSG00000134779	TPGS2
chr18	36829105	37232171	ENSG00000150477	KIAA1328
chr19	35648322	35658781	ENSG00000126267	COX6B1
chr19	35666515	35678482	ENSG00000105668	UPK1A
chr19	35704557	35717037	ENSG00000011590	ZBTB32
chr19	35717972	35738877	ENSG00000272333	KMT2B
chr19	35758142	35769863	ENSG00000167595	PROSER3
chr19	40691513	40718206	ENSG00000123815	COQ8B
